district_,mandal,gp,female,male,transgender
NALGONDA,BHONGIR,GANGA SANI PALLY,113,60,2.0
NALGONDA,BHONGIR,GOUSE NAGAR,203,111,
NALGONDA,BHONGIR,HANMAPUR,455,239,
NALGONDA,BHONGIR,JAMMAPUR,102,71,
NALGONDA,BHONGIR,KESARAM,118,51,
NALGONDA,BHONGIR,KUNOOR,165,110,
NALGONDA,BHONGIR,MANEWARIPAMPU,132,74,1.0
NALGONDA,BHONGIR,MUSTYALAPALLI,183,132,
NALGONDA,BHONGIR,MUTHIREDDIGUDEM,390,259,3.0
NALGONDA,BHONGIR,NAGIREDDI PALLE,235,138,1.0
NALGONDA,BHONGIR,NANDANAM,281,124,2.0
NALGONDA,BHONGIR,NAWATHPALLI,228,150,1.0
NALGONDA,BHONGIR,PACHARLAPADU THANDA,221,152,
NALGONDA,BHONGIR,PAGADI PALLE,167,90,
NALGONDA,BHONGIR,PENCHIKAL PAHAD,122,65,
NALGONDA,BHONGIR,RAMACHANDRAPUR,111,50,
NALGONDA,BHONGIR,RAYAGIRI,756,421,2.0
NALGONDA,BHONGIR,REDDINAIK THANDA,184,117,
NALGONDA,BHONGIR,SURE PALLE,456,300,2.0
NALGONDA,BHONGIR,TAJPUR,274,153,
NALGONDA,BHONGIR,TUKKAPUR,503,312,2.0
NALGONDA,BHONGIR,VEERA VALLY,475,291,
NALGONDA,BHONGIR,WADAPARTHY,292,161,1.0
NALGONDA,BHONGIR,WADDAIGUDEM,158,107,
NALGONDA,BHONGIR,YERRAM BALLE,126,77,
NALGONDA,BIBINAGAR,ANNAMPATLA,171,98,
NALGONDA,BIBINAGAR,BATTUGUDA,292,190,2.0
NALGONDA,BIBINAGAR,BIBINAGAR,1216,657,5.0
NALGONDA,BIBINAGAR,BRAHMANA PALLE,469,301,
NALGONDA,BIBINAGAR,CHINARAVULA PALLE,256,145,1.0
NALGONDA,BIBINAGAR,GOLLAGUDEM,129,97,2.0
NALGONDA,BIBINAGAR,GUDUR,487,215,6.0
NALGONDA,BIBINAGAR,GURRALADANDI,487,357,
NALGONDA,BIBINAGAR,JAIN PALLE,313,192,
NALGONDA,BIBINAGAR,JAM PALLE,286,201,2.0
NALGONDA,BIBINAGAR,JAMEELAPET,247,167,1.0
NALGONDA,BIBINAGAR,JIYAPALLE,249,175,1.0
NALGONDA,BIBINAGAR,KONDAMADUGU,790,440,4.0
NALGONDA,BIBINAGAR,LAXMIDEVI GUDA,94,55,1.0
NALGONDA,BIBINAGAR,MADHARAM,218,119,
NALGONDA,BIBINAGAR,MAKTHA ANANTHARAM,285,141,
NALGONDA,BIBINAGAR,MAQDOOM PALLE,251,146,
NALGONDA,BIBINAGAR,NEMARUGOMULA,477,286,1.0
NALGONDA,BIBINAGAR,PADAMATI SOMARAM,286,154,
NALGONDA,BIBINAGAR,PALLEGUDEM,80,45,
NALGONDA,BIBINAGAR,RAGHAVAPUR,282,151,2.0
NALGONDA,BIBINAGAR,RAHEEM KHAN GUDA,171,82,
NALGONDA,BIBINAGAR,RAMUNIGUNDLA THANDA,185,152,
NALGONDA,BIBINAGAR,RAVI PAHAD,251,167,
NALGONDA,BIBINAGAR,RAYARAOPET,210,99,
NALGONDA,BIBINAGAR,RUDRA VELLY,221,128,
NALGONDA,BIBINAGAR,VENKIRYAL,652,422,
NALGONDA,BOMMALARAMARAM,BANDAKADI PALLE,183,98,
NALGONDA,BOMMALARAMARAM,BOINAPALLY,149,88,
NALGONDA,BOMMALARAMARAM,BOMMALARAMARAM,524,283,1.0
NALGONDA,BOMMALARAMARAM,CHEEKATI MAMIDI,318,187,2.0
NALGONDA,BOMMALARAMARAM,CHOUDARPALLI,329,210,
NALGONDA,BOMMALARAMARAM,HAZIPUR,373,190,4.0
NALGONDA,BOMMALARAMARAM,JALALPUR,481,243,2.0
NALGONDA,BOMMALARAMARAM,KANCHALTHANDA,265,219,
NALGONDA,BOMMALARAMARAM,KANDLAKUNTA THANDA,405,317,2.0
NALGONDA,BOMMALARAMARAM,LAXMI THANDA,520,391,2.0
NALGONDA,BOMMALARAMARAM,MACHANPALLI,255,188,
NALGONDA,BOMMALARAMARAM,MAILARAM,359,229,2.0
NALGONDA,BOMMALARAMARAM,MALYALA,244,124,2.0
NALGONDA,BOMMALARAMARAM,MARYALA,470,216,
NALGONDA,BOMMALARAMARAM,MEDIPALLI,397,221,
NALGONDA,BOMMALARAMARAM,NAGENENIPALLI,385,272,
NALGONDA,BOMMALARAMARAM,PEDDAPARVATHAPUR,220,128,
NALGONDA,BOMMALARAMARAM,PILLIGUNDLA THANDA,281,209,
NALGONDA,BOMMALARAMARAM,PYARARAM,386,278,1.0
NALGONDA,BOMMALARAMARAM,RAMLINGAMPALLI,259,142,1.0
NALGONDA,BOMMALARAMARAM,RANGAPURAM,125,83,1.0
NALGONDA,BOMMALARAMARAM,SOLIPETA,221,122,
NALGONDA,BOMMALARAMARAM,THIMMA PURAM,374,286,3.0
NALGONDA,BOMMALARAMARAM,THUMUKUNTA,225,118,1.0
NALGONDA,BOMMALARAMARAM,TIRUMALGIRI,210,138,3.0
NALGONDA,CHANDAM PET,BATCHAPUR,322,233,
NALGONDA,CHANDAM PET,CHANDAMPET,559,386,1.0
NALGONDA,CHANDAM PET,CHINNA MUNAGAL,404,338,
NALGONDA,CHANDAM PET,CHITRIYALA,866,645,10.0
NALGONDA,CHANDAM PET,GAGILLAPUR,798,578,2.0
NALGONDA,CHANDAM PET,KACHARAJ PALLI,657,437,3.0
NALGONDA,CHANDAM PET,KAMBALA PALLI,1337,1053,11.0
NALGONDA,CHANDAM PET,KOTHA PALLI,831,587,2.0
NALGONDA,CHANDAM PET,MUDUDONDLA,703,468,2.0
NALGONDA,CHANDAM PET,MURPUNUTHALA,622,455,3.0
NALGONDA,CHANDAM PET,NERADUGOMMU,2058,1498,7.0
NALGONDA,CHANDAM PET,PEDDAMOOLA,338,218,
NALGONDA,CHANDAM PET,PEDDAMUNIGAL,410,242,1.0
NALGONDA,CHANDAM PET,POGILLA,383,304,2.0
NALGONDA,CHANDAM PET,POLE PALLI,1437,919,2.0
NALGONDA,CHANDAM PET,REKULA GADDA,349,220,1.0
NALGONDA,CHANDAM PET,THELDEVARA PALLI,1153,792,13.0
NALGONDA,CHANDAM PET,TIMMAPURAM,505,333,7.0
NALGONDA,CHANDAM PET,YALMALA MANDA,557,401,2.0
NALGONDA,CHANDUR,ANGADIPETA,477,265,
NALGONDA,CHANDUR,BANGARIGADDA,685,388,3.0
NALGONDA,CHANDUR,BODANGI PARTHY,403,234,
NALGONDA,CHANDUR,CHANDUR,1683,853,2.0
NALGONDA,CHANDUR,DONIPAMULA,670,438,
NALGONDA,CHANDUR,GHATTUPPAL,1207,603,4.0
NALGONDA,CHANDUR,GUDREPALLE,451,247,1.0
NALGONDA,CHANDUR,IDIKUDA,448,294,4.0
NALGONDA,CHANDUR,KASTHALA,664,417,1.0
NALGONDA,CHANDUR,KONDAPURAM,500,301,1.0
NALGONDA,CHANDUR,NERMATA,452,314,3.0
NALGONDA,CHANDUR,PULLEMLA,643,389,1.0
NALGONDA,CHANDUR,SIRDEPALLE,324,213,
NALGONDA,CHANDUR,TERATPALLY,879,516,2.0
NALGONDA,CHANDUR,THUMMALAPALLE,399,239,1.0
NALGONDA,CHANDUR,UDUTHALA PALLE,573,394,3.0
NALGONDA,CHILKUR,ACHARLAGUDEM,234,127,2.0
NALGONDA,CHILKUR,ARLE GUDEM ,392,255,
NALGONDA,CHILKUR,BETHA VOLU,1626,931,4.0
NALGONDA,CHILKUR,CHENNARIGUDEM,277,173,
NALGONDA,CHILKUR,CHILKUR,1370,750,2.0
NALGONDA,CHILKUR,JANAKINAGAR,568,314,2.0
NALGONDA,CHILKUR,JERRIPOTHULAGUDEM,741,399,
NALGONDA,CHILKUR,KONDAPURAM,599,354,
NALGONDA,CHILKUR,NARAYANAPURAM,796,502,
NALGONDA,CHILKUR,POLENIGUDEM,317,189,3.0
NALGONDA,CHILKUR,RAMAPURAM,538,347,1.0
NALGONDA,CHILKUR,SEETHARAMPURAM,192,125,1.0
NALGONDA,CHILKUR,SEETHLATHANDA,319,194,2.0
NALGONDA,CHINTHA PALLE,CHINTHAPALLY,881,468,1.0
NALGONDA,CHINTHA PALLE,GADYA GOWRARAM,757,491,2.0
NALGONDA,CHINTHA PALLE,GODKONDLA,985,558,
NALGONDA,CHINTHA PALLE,GOLLAPALLY,372,223,3.0
NALGONDA,CHINTHA PALLE,HUMANTHULA PALLI,609,388,10.0
NALGONDA,CHINTHA PALLE,KISTRAM PALLY,487,339,1.0
NALGONDA,CHINTHA PALLE,KURMA PALLI,558,305,
NALGONDA,CHINTHA PALLE,KURMAIDU,663,382,3.0
NALGONDA,CHINTHA PALLE,M.MALLEPALLY,455,316,1.0
NALGONDA,CHINTHA PALLE,MADNAPUR,229,120,
NALGONDA,CHINTHA PALLE,MALLAREDDI PALLI,654,404,2.0
NALGONDA,CHINTHA PALLE,MALLE PALLI P.K.KURTHI,250,172,1.0
