district_,mandal,muncipality,wardname,female,male,transgender
RANGA REDDY,SAROORNAGAR,Badangpet,Kurmalguda,208,142,1.0
RANGA REDDY,SAROORNAGAR,Badangpet,Mamidipally-15,676,490,2.0
RANGA REDDY,SAROORNAGAR,Badangpet,Mamidipally-16,297,225,
RANGA REDDY,SAROORNAGAR,Badangpet,Nadergul ,1636,1017,6.0
RANGA REDDY,SAROORNAGAR,Badangpet,Venkatapur ,593,418,
RANGA REDDY,SAROORNAGAR,Badangpet,Venkatapur Part & Balapur Part ,439,287,1.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  4,489,245,2.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  5,754,513,1.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  6,681,442,1.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  7,338,229,2.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  8,2154,1345,11.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 1,2751,1763,10.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 2,1449,925,6.0
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 3,238,130,2.0
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  1,396,212,1.0
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  2,554,351,3.0
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  3,374,184,1.0
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  4,4290,2087,8.0
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  5,358,216,
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  6,37,18,
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  7,590,258,1.0
