district,mandal,gp,female,male,transgender
KHAMMAM,CHANDRUGONDA,PEDDIREDDIGUDEM,1074,741.0,2.0
KHAMMAM,CHANDRUGONDA,PENTLAM,458,371.0,1.0
KHAMMAM,CHANDRUGONDA,POKALAGUDEM,818,646.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,RAVIKAMPADU,557,437.0,3.0
KHAMMAM,CHANDRUGONDA,THUNGARAM,530,378.0,1.0
KHAMMAM,CHANDRUGONDA,TIPPANAPALLI,900,654.0,2.4959349593495936
KHAMMAM,CHANDRUGONDA,VOOTUPALLI,279,222.0,2.4959349593495936
KHAMMAM,CHERLA,CHERLA,515,350.0,2.4959349593495936
KHAMMAM,CHERLA,DEVARAPALLI,671,525.0,2.4959349593495936
KHAMMAM,CHERLA,GOMMUGUDEM,219,134.0,1.0
KHAMMAM,CHERLA,KUDUNURU,359,267.0,1.0
KHAMMAM,CHERLA,KURNAVALLY,629,450.0,2.4959349593495936
KHAMMAM,CHERLA,MOGALLAPALLY,541,417.0,2.0
KHAMMAM,CHERLA,PEDAMIDISILERU,1104,833.0,4.0
KHAMMAM,CHERLA,PEDDIPALLI,568,408.0,2.4959349593495936
KHAMMAM,CHERLA,PUSUGUPPA,284,178.0,1.0
KHAMMAM,CHERLA,R.KOTHAGUDEM,579,442.0,1.0
KHAMMAM,CHERLA,SATYANARAYANAPURAM,271,177.0,1.0
KHAMMAM,CHERLA,SUBBAMPETA,622,467.0,2.0
KHAMMAM,CHERLA,TEGADA,855,645.0,2.0
KHAMMAM,CHERLA,UPPERUGUDEM,393,238.0,1.0
KHAMMAM,CHINTHAKANI,ANANTHASAGAR,364,228.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,BASVAPURAM,280,182.0,1.0
KHAMMAM,CHINTHAKANI,BOPPARAM,459,273.0,2.0
KHAMMAM,CHINTHAKANI,CHINAMANDAVA,414,270.0,2.0
KHAMMAM,CHINTHAKANI,CHINTHAKANI,1048,663.0,1.0
KHAMMAM,CHINTHAKANI,JAGANNADHAPURAM,210,146.0,1.0
KHAMMAM,CHINTHAKANI,KODUMUR,583,363.0,2.0
KHAMMAM,CHINTHAKANI,KOMATLAGUDEM,478,318.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,LATCHAGUDEM,642,411.0,2.0
KHAMMAM,CHINTHAKANI,MATHKEPALLI,515,377.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,NAGILI KONDA,562,381.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,NAGULA VANCHA,1271,792.0,3.0
KHAMMAM,CHINTHAKANI,NERADA,598,398.0,2.4959349593495936
KHAMMAM,CHINTHAKANI,PANDILLAPALLI,409,261.0,2.0
KHAMMAM,CHINTHAKANI,PATHARLAPADU,810,506.0,2.0
KHAMMAM,CHINTHAKANI,PRODDUTUR,768,474.0,1.0
KHAMMAM,CHINTHAKANI,RAMAKRISHNAPURAM,703,442.0,2.0
KHAMMAM,CHINTHAKANI,SEETHAMPETA,353,230.0,1.0
KHAMMAM,CHINTHAKANI,THIMMINENIPALEM,563,374.0,1.0
KHAMMAM,CHINTHAKANI,VANDANAM,325,213.0,1.0
KHAMMAM,DAMMAPETA,AKINEPALLI,729,561.0,2.0
KHAMMAM,DAMMAPETA,ANKAMPALEM,533,400.0,1.0
KHAMMAM,DAMMAPETA,DAMMAPETA,1584,1110.0,2.4959349593495936
KHAMMAM,DAMMAPETA,GANDHAGULAPALLI,428,317.0,1.0
KHAMMAM,DAMMAPETA,GANESHPADU,336,253.0,2.4959349593495936
KHAMMAM,DAMMAPETA,JAGGARAM,458,350.0,2.0
KHAMMAM,DAMMAPETA,JAMADARBANJAR,332,252.0,2.0
KHAMMAM,DAMMAPETA,LINGALAPALLI,275,215.0,1.0
KHAMMAM,DAMMAPETA,MALKARAM,1011,746.0,2.4959349593495936
KHAMMAM,DAMMAPETA,MANDALAPALLI,771,573.0,3.0
KHAMMAM,DAMMAPETA,MODDULAGUDEM,499,358.0,2.4959349593495936
KHAMMAM,DAMMAPETA,MONDIVARRE,499,366.0,1.0
KHAMMAM,DAMMAPETA,MUSTIBANDA,731,553.0,1.0
KHAMMAM,DAMMAPETA,NACHARAM,559,373.0,2.4959349593495936
KHAMMAM,DAMMAPETA,NAGUPALLI,559,376.0,2.0
KHAMMAM,DAMMAPETA,PATWARIGUDEM,1020,758.0,1.0
KHAMMAM,DAMMAPETA,PEDDAGOLLAGUDEM,632,435.0,2.4959349593495936
