district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
NALGONDA,ATMAKUR (M),MORIPIRALA,348,251,2.3849259757738897,599,599,41.90317195325542,58.09682804674458,559
NALGONDA,ATMAKUR (M),NANCHARIPET,395,258,1.0,653,653,39.50995405819295,60.49004594180705,525
NALGONDA,ATMAKUR (M),NARSAPUR,249,137,1.0,386,1504,9.10904255319149,16.555851063829788,141
NALGONDA,ATMAKUR (M),PALLERLA,712,437,2.3849259757738897,1149,1149,38.03307223672759,61.96692776327241,244
NALGONDA,ATMAKUR (M),POTHIREDDYPALLY,197,144,2.3849259757738897,341,341,42.22873900293255,57.77126099706745,729
NALGONDA,ATMAKUR (M),PULLAIGUDEM,168,123,1.0,291,291,42.2680412371134,57.73195876288659,756
NALGONDA,ATMAKUR (M),RAGHAVAPUR,215,118,2.3849259757738897,333,2062,5.722599418040737,10.426770126091174,39
NALGONDA,ATMAKUR (M),RAHIMKHANPET,407,281,2.3849259757738897,688,688,40.843023255813954,59.15697674418605,501
NALGONDA,ATMAKUR (M),RAIPALLE,178,101,2.3849259757738897,279,279,36.200716845878134,63.799283154121866,763
NALGONDA,ATMAKUR (M),SARVEPALLE,174,104,1.0,278,278,37.410071942446045,62.589928057553955,764
NALGONDA,ATMAKUR (M),SINGARAM,294,210,2.3849259757738897,504,1689,12.433392539964476,17.406749555950267,98
NALGONDA,ATMAKUR (M),T.REPAKA,172,106,1.0,278,278,38.1294964028777,61.87050359712231,764
NALGONDA,ATMAKUR (M),THIMMAPUR,172,120,2.3849259757738897,292,623,19.26163723916533,27.608346709470304,545
NALGONDA,ATMAKUR (M),THUKKAPUR,324,218,3.0,542,542,40.22140221402214,59.77859778597786,597
NALGONDA,ATMAKUR (M),UPPALAPAHAD,153,91,2.3849259757738897,244,244,37.295081967213115,62.704918032786885,779
NALGONDA,ATMAKUR (S),AIPUR,1101,752,2.0,1853,1853,40.58283864004317,59.41716135995683,72
NALGONDA,ATMAKUR (S),ATMAKUR,1045,704,2.3849259757738897,1749,3484,20.20665901262916,29.99425947187141,2
NALGONDA,ATMAKUR (S),BOPPARAM,349,241,1.0,590,1105,21.809954751131222,31.583710407239817,264
NALGONDA,ATMAKUR (S),DACHARAM,263,169,1.0,432,2409,7.01535907015359,10.917393109173931,19
NALGONDA,ATMAKUR (S),ENUBAMLA,366,225,2.0,591,591,38.07106598984771,61.92893401015228,563
NALGONDA,ATMAKUR (S),GATTIKAL,468,276,2.3849259757738897,744,744,37.096774193548384,62.903225806451616,462
NALGONDA,ATMAKUR (S),ISTHALAPUR,398,233,2.0,631,631,36.925515055467514,63.074484944532486,541
NALGONDA,ATMAKUR (S),KANDAGATLA,1142,789,2.0,1931,1931,40.85965820818229,59.140341791817704,52
NALGONDA,ATMAKUR (S),KOTA PAHAD,735,518,1.0,1253,1253,41.340782122905026,58.659217877094974,212
NALGONDA,ATMAKUR (S),MAKTHA KOTHAGUDEM,315,272,2.0,587,587,46.33730834752981,53.66269165247019,566
NALGONDA,ATMAKUR (S),MIDTHAN PALLE,245,156,1.0,401,401,38.90274314214464,61.09725685785536,690
NALGONDA,ATMAKUR (S),MUKKUDUDEVI PALLY,463,316,2.0,779,779,40.564826700898585,59.43517329910141,437
NALGONDA,ATMAKUR (S),NAMMIKAL,880,535,1.0,1415,1415,37.80918727915194,62.19081272084806,158
NALGONDA,ATMAKUR (S),NASEEMPET,413,270,2.3849259757738897,683,683,39.53147877013177,60.46852122986823,505
NALGONDA,ATMAKUR (S),PATHA SURYAPET,853,499,3.0,1352,1352,36.90828402366864,63.091715976331365,180
NALGONDA,ATMAKUR (S),PATHARLA PAHAD,1137,789,2.0,1926,1926,40.965732087227416,59.034267912772584,55
NALGONDA,ATMAKUR (S),RAMANNAGUDEM,520,388,1.0,908,908,42.731277533039645,57.268722466960355,365
NALGONDA,ATMAKUR (S),SETTI GUDEM,463,346,2.3849259757738897,809,809,42.76885043263288,57.231149567367126,420
NALGONDA,ATMAKUR (S),THUMMALAPEN PAHAD,1168,855,1.0,2023,2023,42.26396440929313,57.73603559070687,43
NALGONDA,BHONGIR,ANAJIPUR,405,205,1.0,610,1072,19.12313432835821,37.77985074626866,281
NALGONDA,BHONGIR,ANANTHARAM,335,167,1.0,502,2120,7.877358490566038,15.80188679245283,34
NALGONDA,BHONGIR,B.N.TIMMAPUR,454,264,1.0,718,718,36.768802228412255,63.231197771587745,481
NALGONDA,BHONGIR,BALAMPALLY,76,41,2.3849259757738897,117,117,35.04273504273504,64.95726495726495,805
NALGONDA,BHONGIR,BANDA SOMARAM,272,142,1.0,414,414,34.29951690821256,65.70048309178745,684
NALGONDA,BHONGIR,BASWAPUR,540,337,2.3849259757738897,877,877,38.42645381984037,61.57354618015963,380
NALGONDA,BHONGIR,BOLLE PALLE,770,371,4.0,1141,1141,32.515337423312886,67.48466257668711,247
NALGONDA,BHONGIR,BOMMAI PALLE,207,115,2.3849259757738897,322,322,35.714285714285715,64.28571428571429,740
NALGONDA,BHONGIR,CHANDUPATLA,481,292,2.3849259757738897,773,1936,15.082644628099173,24.84504132231405,51
NALGONDA,BHONGIR,CHEEMALA KONDUR,259,148,1.0,407,407,36.36363636363637,63.63636363636363,687
NALGONDA,BHONGIR,GANGA SANI PALLY,113,60,2.0,173,173,34.68208092485549,65.3179190751445,796
NALGONDA,BHONGIR,GOUSE NAGAR,203,111,2.3849259757738897,314,314,35.35031847133758,64.64968152866241,746
NALGONDA,BHONGIR,HANMAPUR,455,239,2.3849259757738897,694,694,34.43804034582133,65.56195965417866,496
NALGONDA,BHONGIR,JAMMAPUR,102,71,2.3849259757738897,173,173,41.040462427745666,58.95953757225434,796
NALGONDA,BHONGIR,KESARAM,118,51,2.3849259757738897,169,1582,3.2237673830594185,7.458912768647282,124
NALGONDA,BHONGIR,KUNOOR,165,110,2.3849259757738897,275,275,40.0,60.0,766
NALGONDA,BHONGIR,MANEWARIPAMPU,132,74,1.0,206,206,35.92233009708738,64.07766990291263,789
