district_,mandal,muncipality,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.10,222,113,2.458333333333333,335,1102,10.254083484573503,20.14519056261343,22
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.11,198,107,1.0,305,836,12.799043062200957,23.684210526315788,31
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.12,201,91,1.0,292,678,13.421828908554573,29.646017699115045,37
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.13,197,126,2.458333333333333,323,963,13.084112149532709,20.456905503634477,26
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.14,315,177,2.458333333333333,492,856,20.677570093457945,36.79906542056075,29
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.15,233,112,2.458333333333333,345,804,13.930348258706468,28.980099502487562,33
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.16,151,70,2.458333333333333,221,487,14.37371663244353,31.006160164271044,42
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.17,200,94,1.0,294,1676,5.608591885441527,11.933174224343675,7
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.18,228,144,2.458333333333333,372,1023,14.076246334310852,22.28739002932551,23
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.19,171,87,2.458333333333333,258,1233,7.0559610705596105,13.86861313868613,16
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.2,242,118,2.458333333333333,360,1164,10.137457044673539,20.790378006872853,21
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.20,160,79,2.458333333333333,239,835,9.461077844311378,19.16167664670659,32
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.3,266,132,1.0,398,1259,10.484511517077046,21.127879269261317,14
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.4,344,208,2.458333333333333,552,1359,15.305371596762326,25.312729948491537,12
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.5,180,99,2.0,279,1658,5.9710494571773225,10.85645355850422,8
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.6,273,173,1.0,446,990,17.474747474747474,27.575757575757574,25
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.7,289,178,1.0,467,1381,12.889210716871832,20.926864590876175,10
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.8,292,154,2.458333333333333,446,1358,11.34020618556701,21.502209131075112,13
RANGA REDDY,MEDCHAL,Medchal,Revenue Ward No.9,435,336,2.458333333333333,771,1369,24.54346238130022,31.77501826150475,11
RANGA REDDY,SAROORNAGAR,Badangpet,Almasguda-7,785,450,7.0,1235,1235,36.43724696356275,63.56275303643725,15
RANGA REDDY,SAROORNAGAR,Badangpet,Almasguda-8,298,170,3.0,468,468,36.324786324786324,63.67521367521367,43
RANGA REDDY,SAROORNAGAR,Badangpet,Almasguda-9,271,147,2.458333333333333,418,418,35.16746411483253,64.83253588516746,45
RANGA REDDY,SAROORNAGAR,Badangpet,Balapur Part,1152,588,3.0,1740,1740,33.793103448275865,66.20689655172414,6
RANGA REDDY,SAROORNAGAR,Badangpet,Bandangpet-2,1195,711,2.458333333333333,1906,1906,37.303252885624346,62.696747114375654,4
RANGA REDDY,SAROORNAGAR,Badangpet,Bandangpet-3,423,257,3.0,680,680,37.794117647058826,62.205882352941174,36
RANGA REDDY,SAROORNAGAR,Badangpet,Bandangpet-4,487,299,2.458333333333333,786,786,38.040712468193384,61.959287531806616,34
